| Circuito | Mejor JS | Mejora JS (abs) | Mejor Wass | Mejora Wass (abs) |
|----------|----------|-----------------|------------|-------------------|
| 20QBT_16CYC_32GN_1.0P2_0_vq | Horizontal | 0.105693 | Barbecho | 0.000007 |
| 20QBT_4CYC_8GN_1.0P2_0_vq | Horizontal | 0.019412 | Horizontal | 0.001171 |
| 20QBT_8CYC_16GN_1.0P2_0_vq | Horizontal | 0.062879 | Horizontal | 0.000040 |
| 3_17tc_vq | Horizontal | 0.013400 | Horizontal | 0.000602 |
| 6symd2_vq | Horizontal | 0.027113 | Horizontal | 0.000069 |
| adder_n10_vq | Horizontal | 0.003542 | Horizontal | 0.000027 |
| adder_n13_vq | Horizontal | 0.052428 | Horizontal | 0.000015 |
| adder_n16_vq | Horizontal | 0.070437 | Barbecho | 0.000002 |
| adder_n4_vq | Horizontal | 0.001072 | Horizontal | 0.002067 |
| adder_n7_vq | Barbecho | 0.004582 | Horizontal | 0.000004 |
| adder_qcraft | Barbecho | 0.002061 | Barbecho | 0.001211 |
| bernstein-vazirani_qcraft | Barbecho | 0.003523 | Barbecho | 0.002859 |
| bv_14_vq | Horizontal | 0.021705 | Horizontal | 0.000014 |
| bv_2_vq | Barbecho | 0.008738 | Barbecho | 0.006295 |
| bv_3_vq | Barbecho | 0.010688 | Barbecho | 0.004134 |
| bv_4_vq | Barbecho | 0.014355 | Barbecho | 0.002794 |
| bv_5_vq | Barbecho | 0.008989 | Barbecho | 0.001259 |
| bv_9_vq | Barbecho | 0.025720 | Barbecho | 0.000082 |
| Deutsch-Jozsa_qcraft | Barbecho | 0.005196 | Barbecho | 0.001711 |
| dj_indep_14_mqt | Horizontal | 0.004841 | Horizontal | 0.000004 |
| dj_indep_4_mqt | Barbecho | 0.014842 | Barbecho | 0.007889 |
| dj_indep_5_mqt | Barbecho | 0.017566 | Barbecho | 0.004152 |
| dj_indep_7_mqt | Barbecho | 0.016616 | Barbecho | 0.000898 |
| grover-noancilla_3_mqt | Barbecho | 0.004359 | Barbecho | 0.003872 |
| grover-noancilla_4_mqt | Barbecho | 0.002704 | Barbecho | 0.001187 |
| grover-v-chain_3_mqt | Barbecho | 0.004570 | Barbecho | 0.002096 |
| grover-v-chain_4_mqt | Barbecho | 0.003726 | Barbecho | 0.001050 |
| grover_3_vq | Horizontal | 0.003365 | Horizontal | 0.000080 |
| grover_7_vq | Horizontal | 0.000221 | Barbecho | 0.000050 |
| grover_9_vq | Horizontal | 0.003840 | Horizontal | 0.000083 |
| grover_qcraft | Barbecho | 0.005178 | Barbecho | 0.006197 |
| kickback_7_vq | Barbecho | 0.001623 | Barbecho | 0.006475 |
| kickback_qcraft | Barbecho | 0.008681 | Barbecho | 0.009898 |
| pe_2_vq | Barbecho | 0.001291 | Barbecho | 0.001363 |
| pe_3_mqt | Barbecho | 0.001471 | Horizontal | 0.004660 |
| pe_4_mqt | Barbecho | 0.008370 | Barbecho | 0.003146 |
| pe_5_mqt | Barbecho | 0.000800 | Barbecho | 0.001957 |
| pe_5_vq | Barbecho | 0.005286 | Barbecho | 0.000418 |
| pe_6_mqt | Barbecho | 0.008408 | Barbecho | 0.001020 |
| pe_6_vq | Horizontal | 0.001232 | Horizontal | 0.000061 |
| pe_7_mqt | Barbecho | 0.002493 | Barbecho | 0.000247 |
| phase_estimation_qcraft | Barbecho | 0.008922 | Barbecho | 0.007311 |
| qaoa_6_vq | Horizontal | 0.000277 | Barbecho | 0.000358 |
| qaoa_indep_3_mqt | Horizontal | 0.003726 | Barbecho | 0.001809 |
