Circuito                                 | Media JS        | Media Wass      | Batches
-------------------------------------------------------------------------------------
20QBT_16CYC_32GN_1.0P2_0_vq              | 0.490701        | 0.000040        | 147
20QBT_4CYC_8GN_1.0P2_0_vq                | 0.039958        | 0.009844        | 147
20QBT_8CYC_16GN_1.0P2_0_vq               | 0.276818        | 0.000165        | 147
3_17tc_vq                                | 0.026297        | 0.037618        | 147
6symd2_vq                                | 0.186827        | 0.000495        | 147
adder_n10_vq                             | 0.147008        | 0.000749        | 147
adder_n13_vq                             | 0.342214        | 0.000111        | 147
adder_n16_vq                             | 0.475829        | 0.000041        | 146
adder_n4_vq                              | 0.037350        | 0.019233        | 147
adder_n7_vq                              | 0.083144        | 0.002636        | 147
adder_qcraft                             | 0.008102        | 0.007763        | 147
bernstein-vazirani_qcraft                | 0.040172        | 0.020862        | 147
bv_14_vq                                 | 0.436900        | 0.000137        | 147
bv_2_vq                                  | 0.029278        | 0.068056        | 147
bv_3_vq                                  | 0.040093        | 0.042595        | 147
bv_4_vq                                  | 0.057809        | 0.023469        | 146
bv_5_vq                                  | 0.062137        | 0.011983        | 147
bv_9_vq                                  | 0.181179        | 0.000919        | 147
Deutsch-Jozsa_qcraft                     | 0.036263        | 0.021614        | 147
dj_indep_14_mqt                          | 0.463400        | 0.000151        | 147
dj_indep_4_mqt                           | 0.038968        | 0.044855        | 146
dj_indep_5_mqt                           | 0.052837        | 0.023851        | 147
dj_indep_7_mqt                           | 0.077177        | 0.005842        | 147
grover-noancilla_3_mqt                   | 0.031209        | 0.042487        | 147
grover-noancilla_4_mqt                   | 0.017737        | 0.014295        | 146
grover-v-chain_3_mqt                     | 0.027075        | 0.038769        | 147
grover-v-chain_4_mqt                     | 0.017166        | 0.013357        | 147
grover_3_vq                              | 0.016165        | 0.024878        | 146
grover_7_vq                              | 0.040175        | 0.001932        | 147
grover_9_vq                              | 0.104391        | 0.000668        | 146
grover_qcraft                            | 0.014329        | 0.045011        | 147
kickback_7_vq                            | 0.002201        | 0.022959        | 147
kickback_qcraft                          | 0.030546        | 0.071909        | 147
pe_2_vq                                  | 0.031142        | 0.041006        | 147
pe_3_mqt                                 | 0.018062        | 0.062696        | 146
pe_4_mqt                                 | 0.026914        | 0.037971        | 147
pe_5_mqt                                 | 0.029275        | 0.018294        | 147
pe_5_vq                                  | 0.037916        | 0.009154        | 147
pe_6_mqt                                 | 0.034343        | 0.008500        | 147
pe_6_vq                                  | 0.042961        | 0.004551        | 147
pe_7_mqt                                 | 0.035872        | 0.004103        | 147
phase_estimation_qcraft                  | 0.026068        | 0.037034        | 147
qaoa_6_vq                                | 0.015870        | 0.003289        | 146
qaoa_indep_3_mqt                         | 0.007748        | 0.019336        | 146
qaoa_indep_4_mqt                         | 0.022612        | 0.018047        | 146
qaoa_indep_5_mqt                         | 0.019987        | 0.006739        | 147
qaoa_indep_6_mqt                         | 0.028030        | 0.003470        | 147
qaoa_qcraft                              | 0.004645        | 0.026046        | 147
qft_2_mqt                                | 0.003714        | 0.022415        | 146
qft_3_mqt                                | 0.006744        | 0.014771        | 147
qft_3_vq                                 | 0.007688        | 0.015744        | 147
qft_4_mqt                                | 0.008294        | 0.008385        | 147
qft_6_mqt                                | 0.022040        | 0.003296        | 147
qft_7_vq                                 | 0.032762        | 0.002063        | 147
qft_qcraft                               | 0.020416        | 0.063642        | 147
qwalk-noancilla_3_mqt                    | 0.014498        | 0.028109        | 147
qwalk-v-chain_3_mqt                      | 0.015562        | 0.027444        | 147
qwalk-v-chain_5_mqt                      | 0.012170        | 0.004492        | 147
qwalk_qcraft                             | 0.015687        | 0.029960        | 147
reversible_5_adder_vq                    | 0.192690        | 0.000503        | 147
shor_mod15_mqt                           | 0.046017        | 0.020985        | 147
shor_mod21_mqt                           | 0.008164        | 0.007186        | 147
shor_qcraft                              | 0.039830        | 0.020415        | 147
simon_qcraft                             | 0.034630        | 0.003904        | 147
simon_vq                                 | 0.004094        | 0.010526        | 147
su2random_3_mqt                          | 0.002186        | 0.017641        | 147
su2random_4_mqt                          | 0.008904        | 0.007789        | 147
su2_5_vq                                 | 0.041164        | 0.019562        | 146
tsp_indep_4_mqt                          | 0.017090        | 0.012496        | 146
tsp_indep_5_mqt                          | 0.004589        | 0.013268        | 147
tsp_qcraft                               | 0.055032        | 0.046605        | 147
vqe_indep_3_mqt                          | 0.014212        | 0.024107        | 146
vqe_indep_4_mqt                          | 0.043285        | 0.021897        | 147
vqe_indep_5_mqt                          | 0.041718        | 0.010186        | 147
vqe_indep_6_mqt                          | 0.064592        | 0.005525        | 147
