Circuito: qaoa_qcraft.py | Registros clásicos: c0 - c1 | Iteración: 0 | Batch: 1
Circuito: qft_3_vq.py | Registros clásicos: c2 - c4 | Iteración: 0 | Batch: 1
Circuito: qft_2_mqt.py | Registros clásicos: c5 - c6 | Iteración: 0 | Batch: 1
Circuito: qaoa_6_vq.py | Registros clásicos: c7 - c12 | Iteración: 0 | Batch: 1
Circuito: kickback_qcraft.py | Registros clásicos: c13 - c16 | Iteración: 0 | Batch: 1
Circuito: qft_3_mqt.py | Registros clásicos: c17 - c19 | Iteración: 0 | Batch: 2
Circuito: vqe_indep_6_mqt.py | Registros clásicos: c20 - c25 | Iteración: 0 | Batch: 2
Circuito: shor_mod15_mqt.py | Registros clásicos: c26 - c30 | Iteración: 0 | Batch: 2
Circuito: vqe_indep_4_mqt.py | Registros clásicos: c31 - c34 | Iteración: 0 | Batch: 2
Circuito: qft_4_mqt.py | Registros clásicos: c35 - c38 | Iteración: 0 | Batch: 2
Circuito: grover-v-chain_3_mqt.py | Registros clásicos: c39 - c41 | Iteración: 0 | Batch: 2
Circuito: bv_2_vq.py | Registros clásicos: c42 - c43 | Iteración: 0 | Batch: 2
Circuito: qaoa_indep_6_mqt.py | Registros clásicos: c44 - c49 | Iteración: 0 | Batch: 3
Circuito: qwalk-v-chain_5_mqt.py | Registros clásicos: c50 - c54 | Iteración: 0 | Batch: 3
Circuito: dj_indep_4_mqt.py | Registros clásicos: c55 - c58 | Iteración: 0 | Batch: 3
Circuito: phase_estimation_qcraft.py | Registros clásicos: c59 - c62 | Iteración: 0 | Batch: 3
Circuito: adder_n7_vq.py | Registros clásicos: c63 - c69 | Iteración: 0 | Batch: 3
Circuito: grover_qcraft.py | Registros clásicos: c70 - c71 | Iteración: 0 | Batch: 3
Circuito: 3_17tc_vq.py | Registros clásicos: c72 - c74 | Iteración: 0 | Batch: 4
Circuito: reversible_5_adder_vq.py | Registros clásicos: c75 - c85 | Iteración: 0 | Batch: 4
Circuito: adder_n16_vq.py | Registros clásicos: c86 - c101 | Iteración: 0 | Batch: 4
Circuito: simon_vq.py | Registros clásicos: c102 - c107 | Iteración: 0 | Batch: 4
Circuito: qft_2_mqt.py | Registros clásicos: c108 - c109 | Iteración: 0 | Batch: 4
Circuito: pe_6_mqt.py | Registros clásicos: c110 - c115 | Iteración: 0 | Batch: 5
Circuito: bv_5_vq.py | Registros clásicos: c116 - c120 | Iteración: 0 | Batch: 5
Circuito: grover-noancilla_4_mqt.py | Registros clásicos: c121 - c124 | Iteración: 0 | Batch: 5
Circuito: su2_5_vq.py | Registros clásicos: c125 - c128 | Iteración: 0 | Batch: 5
Circuito: su2random_3_mqt.py | Registros clásicos: c129 - c131 | Iteración: 0 | Batch: 5
Circuito: grover-v-chain_4_mqt.py | Registros clásicos: c132 - c135 | Iteración: 0 | Batch: 5
Circuito: pe_2_vq.py | Registros clásicos: c136 - c138 | Iteración: 0 | Batch: 5
Circuito: dj_indep_14_mqt.py | Registros clásicos: c139 - c152 | Iteración: 0 | Batch: 6
Circuito: pe_5_vq.py | Registros clásicos: c153 - c158 | Iteración: 0 | Batch: 6
Circuito: tsp_indep_4_mqt.py | Registros clásicos: c159 - c162 | Iteración: 0 | Batch: 6
Circuito: shor_qcraft.py | Registros clásicos: c163 - c166 | Iteración: 0 | Batch: 6
Circuito: vqe_indep_3_mqt.py | Registros clásicos: c167 - c169 | Iteración: 0 | Batch: 6
Circuito: qwalk-noancilla_3_mqt.py | Registros clásicos: c170 - c172 | Iteración: 0 | Batch: 6
Circuito: 20QBT_16CYC_32GN_1.0P2_0_vq.py | Registros clásicos: c173 - c192 | Iteración: 0 | Batch: 7
Circuito: qwalk_qcraft.py | Registros clásicos: c193 - c195 | Iteración: 0 | Batch: 7
Circuito: pe_6_vq.py | Registros clásicos: c196 - c202 | Iteración: 0 | Batch: 8
Circuito: bv_4_vq.py | Registros clásicos: c203 - c206 | Iteración: 0 | Batch: 8
Circuito: Deutsch-Jozsa_qcraft.py | Registros clásicos: c207 - c210 | Iteración: 0 | Batch: 8
Circuito: grover_7_vq.py | Registros clásicos: c211 - c217 | Iteración: 0 | Batch: 8
Circuito: tsp_qcraft.py | Registros clásicos: c218 - c222 | Iteración: 0 | Batch: 8
Circuito: 20QBT_8CYC_16GN_1.0P2_0_vq.py | Registros clásicos: c223 - c242 | Iteración: 0 | Batch: 9
Circuito: grover_9_vq.py | Registros clásicos: c243 - c251 | Iteración: 0 | Batch: 9
Circuito: adder_qcraft.py | Registros clásicos: c252 - c255 | Iteración: 0 | Batch: 9
