Circuito: e0_b0_t13.py | Registros clásicos: c0 - c1 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t30.py | Registros clásicos: c2 - c3 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t31.py | Registros clásicos: c4 - c5 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t27.py | Registros clásicos: c6 - c7 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t43.py | Registros clásicos: c8 - c9 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t19.py | Registros clásicos: c10 - c11 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t35.py | Registros clásicos: c12 - c13 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t28.py | Registros clásicos: c14 - c15 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t17.py | Registros clásicos: c16 - c17 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t23.py | Registros clásicos: c18 - c19 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t76.py | Registros clásicos: c20 - c21 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t57.py | Registros clásicos: c22 - c23 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t32.py | Registros clásicos: c24 - c25 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t41.py | Registros clásicos: c26 - c27 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t34.py | Registros clásicos: c28 - c29 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t38.py | Registros clásicos: c30 - c31 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t12.py | Registros clásicos: c32 - c33 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t15.py | Registros clásicos: c34 - c35 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t14.py | Registros clásicos: c36 - c37 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t20.py | Registros clásicos: c38 - c39 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t24.py | Registros clásicos: c40 - c41 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t9.py | Registros clásicos: c42 - c43 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t21.py | Registros clásicos: c44 - c45 | Iteración: 0 | Batch: 1
Circuito: e0_b0_t29.py | Registros clásicos: c46 - c47 | Iteración: 0 | Batch: 1
